Species,Common_Name,Directory_Name,NCBI_Accession,Assembly_Status,Contig_N50,Scaffold_N50,Intact_ORFs
Crossoptilon mantchuricum,brown eared-pheasant,Crossoptilon_mantchuricum__brown_eared-pheasant__HLcroMan1__GCA_019593555.1,GCA_019593555.1,Scaffold,157489,3632751,
Crotophaga sulcirostris,groove-billed ani,Crotophaga_sulcirostris__groove-billed_ani__HLcroSul1__GCA_013397455.1,GCA_013397455.1,Scaffold,83601,1692907,
Cryptoprocta ferox,fossa,Cryptoprocta_ferox__fossa__HLcryFer2,DNA Zoo Consortium,,123817,107277967,14523.0
Cryptotis parvus,least shrew,Cryptotis_parvus__least_shrew__HLcryPar1__GCA_021461705.1,GCA_021461705.1,Contig,112257,112257,1072.0
Crypturellus cinnamomeus,Thicket tinamou,Crypturellus_cinnamomeus__Thicket_tinamou__HLcryCin1__GCA_003342915.1,GCA_003342915.1,Scaffold,60620,2401919,
Crypturellus soui,Little tinamou,Crypturellus_soui__Little_tinamou__HLcrySou1__GCA_013389845.1,GCA_013389845.1,Scaffold,79009,846765,
Crypturellus undulatus,Undulated tinamou,Crypturellus_undulatus__Undulated_tinamou__HLcryUnd1__GCA_013389825.1,GCA_013389825.1,Scaffold,99502,387774,
Ctenodactylus gundi,Northern gundi,Ctenodactylus_gundi__Northern_gundi__HLcteGund2A__GCA_048771875.1,GCA_048771875.1,Chromosome,38834406,108787391,14791.0
Ctenomys sociabilis,social tuco-tuco,Ctenomys_sociabilis__social_tuco-tuco__HLcteSoc1__GCA_004027165.1,GCA_004027165.1,Scaffold,37562,49073,13570.0
Cuculus canorus,common cuckoo,Cuculus_canorus__common_cuckoo__HLcucCan2__GCA_017976375.1,GCA_017976375.1,Chromosome,20797936,78325852,
Cuora amboinensis,Amboina box turtle,Cuora_amboinensis__Amboina_box_turtle__HLcuoAmb1__GCA_004028625.2,GCA_004028625.2,Scaffold,47152,247606,
Cuora mccordi,McCords box turtle,Cuora_mccordi__McCords_box_turtle__HLcuoMcc1__GCA_003846335.1,GCA_003846335.1,Scaffold,74338,32628679,
Curruca cantillans,Eastern subalpine warbler,Curruca_cantillans__Eastern_subalpine_warbler__HLcurCant1__GCA_045784985.1,GCA_045784985.1,Scaffold,180709,10874106,
Curruca ruppeli,Rueppells warbler,Curruca_ruppeli__Rueppells_warbler__HLcurRupp1__GCA_045787085.1,GCA_045787085.1,Scaffold,161249,18940552,
Cyanistes caeruleus,blue tit,Cyanistes_caeruleus__blue_tit__HLcyaCae1__GCA_002901205.1,GCA_002901205.1,Scaffold,105778,16846143,
Cyanocitta cristata,Blue jay,Cyanocitta_cristata__Blue_jay__HLcyaCris1A__GCA_046129655.1,GCA_046129655.1,Chromosome,6932545,76484566,
Cyanocitta stelleri,Stellers jay,Cyanocitta_stelleri__Stellers_jay__HLcyaStel1__GCA_026167965.1,GCA_026167965.1,Scaffold,7854909,25842608,
Cyanocorax yucatanicus,Yucatan jay,Cyanocorax_yucatanicus__Yucatan_jay__HLcyaYuca1__GCA_048174265.1,GCA_048174265.1,Contig,13535775,13535775,
Cyanoderma ruficeps,rufous-capped babbler,Cyanoderma_ruficeps__rufous-capped_babbler__HLcyaRuf1__GCA_008694505.1,GCA_008694505.1,Scaffold,194313,15643638,
Cyanoliseus patagonus,Burrowing parakeet,Cyanoliseus_patagonus__Burrowing_parakeet__HLcyaPata1__GCA_025629865.1,GCA_025629865.1,Scaffold,11117,23079,
Cygnus atratus,Black swan,Cygnus_atratus__Black_swan__HLcygAtr2__GCF_013377495.2,GCF_013377495.2,Chromosome,28995010,84552148,
Cygnus buccinator,trumperter swan,Cygnus_buccinator__trumperter_swan__HLcygBuc1__GCA_019232035.1,GCA_019232035.1,Scaffold,156610,38071269,
Cygnus columbianus,Tundra swan,Cygnus_columbianus__Tundra_swan__HLcygColu1__GCA_965151615.1,GCA_965151615.1,Chromosome,3838603,78162771,
Cygnus cygnus,Common whooper,Cygnus_cygnus__Common_whooper__HLcygCygn1A__GCA_965278775.1,GCA_965278775.1,Chromosome,2482267,65831537,
Cygnus olor,mute swan,Cygnus_olor__mute_swan__HLcygOlo1__GCA_009769625.1,GCA_009769625.1,Chromosome,7743145,81035313,
Cynocephalus volans,Philippine flying lemur,Cynocephalus_volans__Philippine_flying_lemur__HLcynVol1__GCA_027409185.1,GCA_027409185.1,Chromosome,69195939,165781880,15013.0
Cynomys gunnisoni,Gunnisons prairie dog,Cynomys_gunnisoni__Gunnisons_prairie_dog__HLcynGun1__GCA_011316645.1,GCA_011316645.1,Scaffold,687762,824613,14608.0
Cynomys ludovicianus,Black-tailed prairie dog,Cynomys_ludovicianus__Black-tailed_prairie_dog__HLcynLudo1__GCA_052576455.1,GCA_052576455.1,Scaffold,567348,1032944,14237.0
Cynopterus brachyotis,lesser short-nosed fruit bat,Cynopterus_brachyotis__lesser_short-nosed_fruit_bat__HLcynBra1__GCA_009793145.1,GCA_009793145.1,Scaffold,16627,251278,9484.0
Cynopterus sphinx,Indian short-nosed fruit bat,Cynopterus_sphinx__Indian_short-nosed_fruit_bat__HLcynSph1__GCA_030015415.1,GCA_030015415.1,Chromosome,84235024,145152962,14850.0
Cyrtonyx montezumae,Montezuma quail,Cyrtonyx_montezumae__Montezuma_quail__HLcyrMon1__GCF_038088225.1,GCF_038088225.1,Scaffold,8147501,36229164,
Dama dama,fallow deer,Dama_dama__fallow_deer__HLdamDam1__GCF_033118175.1,GCF_033118175.1,Chromosome,68791581,77069784,15029.0
Damaliscus lunatus,topi,Damaliscus_lunatus__topi__HLdamLun1__GCA_006408505.1,GCA_006408505.1,Scaffold,38843,1166796,14375.0
Daphoenositta chrysoptera,varied sittella,Daphoenositta_chrysoptera__varied_sittella__HLdapChr1__GCA_013397915.1,GCA_013397915.1,Scaffold,79485,804295,
Dasyornis broadbenti,rufous bristle-bird,Dasyornis_broadbenti__rufous_bristle-bird__HLdasBro1__GCA_013397935.1,GCA_013397935.1,Scaffold,67799,1415013,
Dasyprocta punctata,punctate agouti,Dasyprocta_punctata__punctate_agouti__HLdasPun1__GCA_004363535.1,GCA_004363535.1,Scaffold,38650,43703,13053.0
Dasypus novemcinctus,nine-banded armadillo,Dasypus_novemcinctus__nine-banded_armadillo__HLdasNov4__GCF_030445035.1,GCF_030445035.1,Chromosome,14295626,130056132,14742.0
Dasyurus maculatus,Spotted-tailed quoll,Dasyurus_maculatus__Spotted-tailed_quoll__HLdasMacu1__GCA_048593285.1,GCA_048593285.1,Chromosome,93424779,622380813,11767.0
Dasyurus viverrinus,eastern quoll,Dasyurus_viverrinus__eastern_quoll__HLdasViv1__GCA_020854095.1,GCA_020854095.1,Chromosome,13753271,628486596,
Daubentonia madagascariensis,aye-aye,Daubentonia_madagascariensis__aye-aye__HLdauMad1__GCA_004027145.1,GCA_004027145.1,Scaffold,298834,379919,14918.0
Deirochelys reticularia miaria,Western chicken turtle,Deirochelys_reticularia_miaria__Western_chicken_turtle__HLdeiRetiMia1__GCA_048301635.1,GCA_048301635.1,Contig,83018800,83018800,
Delichon dasypus,Asian house martin,Delichon_dasypus__Asian_house_martin__HLdelDasy1__GCA_037837765.1,GCA_037837765.1,Scaffold,20730791,74747089,
Delphinapterus leucas,beluga whale,Delphinapterus_leucas__beluga_whale__HLdelLeu4__GCA_035221355.1,GCA_035221355.1,Scaffold,3310522,44354054,14533.0
Delphinus delphis,Saddleback dolphin,Delphinus_delphis__Saddleback_dolphin__HLdelDelp3__GCA_030062865.2,GCA_030062865.2,Chromosome,54231611,108933991,14635.0
Dendrocygna arborea,Black-billed whistling-duck,Dendrocygna_arborea__Black-billed_whistling-duck__HLdenArbo1__GCA_049176575.1,GCA_049176575.1,Scaffold,42527,77598070,
Dendrocygna autumnalis,Black-bellied whistling-duck,Dendrocygna_autumnalis__Black-bellied_whistling-duck__HLdenAutu1__GCA_048604525.1,GCA_048604525.1,Scaffold,31645,66240164,
Dendrocygna bicolor,Fulvous whistling-duck,Dendrocygna_bicolor__Fulvous_whistling-duck__HLdenBico1__GCA_051419595.1,GCA_051419595.1,Scaffold,22455,77754676,
Dendrocygna viduata,White-faced whistling-duck,Dendrocygna_viduata__White-faced_whistling-duck__HLdenVidu1__GCA_051419395.1,GCA_051419395.1,Scaffold,13425,77497130,
Dermanura phaeotis,Dwarf fruit-eating bat,Dermanura_phaeotis__Dwarf_fruit-eating_bat__HLderPhae1B__GCA_051107595.1,GCA_051107595.1,Chromosome,101513163,156917333,14130.0
Dermatemys mawii,Hickatee,Dermatemys_mawii__Hickatee__HLderMawi3A__GCA_054099655.1,GCA_054099655.1,Chromosome,57121583,112986257,
Dermochelys coriacea,leatherback sea turtle,Dermochelys_coriacea__leatherback_sea_turtle__HLderCor2__GCF_009764565.3,GCF_009764565.3,Chromosome,7029801,137568771,
Desmana moschata,Insectivores,Desmana_moschata__Insectivores__HLdesMos1__GCA_965120235.1,GCA_965120235.1,Scaffold,28485,55067,13496.0
Desmodus rotundus,common vampire bat,Desmodus_rotundus__common_vampire_bat__HLdesRot15A,TBG Hillerlab,,9037853,161147830,14898.0
Dicaeum eximium,Red-banded flowerpecker,Dicaeum_eximium__Red-banded_flowerpecker__HLdicExi1__GCA_013396995.1,GCA_013396995.1,Scaffold,117005,1096110,
Dicerorhinus sumatrensis harrissoni,Sumatran rhinoceros,Dicerorhinus_sumatrensis_harrissoni__Sumatran_rhinoceros__HLdicSumHar2__GCA_014189135.1,GCA_014189135.1,Scaffold,70892,54482381,14730.0
Dicerorhinus sumatrensis sumatrensis,Sumatran rhinoceros,Dicerorhinus_sumatrensis_sumatrensis__Sumatran_rhinoceros__HLdicSum1__GCA_002844835.1,GCA_002844835.1,Scaffold,89455,614498,14796.0
Diceros bicornis minor,black rhinoceros,Diceros_bicornis_minor__black_rhinoceros__HLdicBicMin2__GCA_020826845.1,GCA_020826845.1,Chromosome,28468213,65026825,14991.0
Dicrostonyx torquatus,Arctic lemming,Dicrostonyx_torquatus__Arctic_lemming__HLdicTor1__GCA_028555095.1,GCA_028555095.1,Scaffold,22796,5983314,13809.0
Dicrurus megarhynchus,Paradise drongo,Dicrurus_megarhynchus__Paradise_drongo__HLdicMeg1__GCA_013399195.1,GCA_013399195.1,Scaffold,143784,1068420,
Didelphis virginiana,North American opossum,Didelphis_virginiana__North_American_opossum__HLdidVir1,DNA Zoo Consortium,,36692,245356608,
Diglossa brunneiventris,black-throated flowerpiercer,Diglossa_brunneiventris__black-throated_flowerpiercer__HLdigBru1__GCA_019023105.1,GCA_019023105.1,Chromosome,7273401,67281049,
Dinomys branickii,pacarana,Dinomys_branickii__pacarana__HLdinBra1__GCA_004027595.1,GCA_004027595.1,Scaffold,64805,77918,14289.0
Diopsittaca nobilis,Red-shouldered macaw,Diopsittaca_nobilis__Red-shouldered_macaw__HLdioNobi1__GCA_024337085.1,GCA_024337085.1,Scaffold,20970,31393,
Diphyllodes magnificus,Magnificent bird of paradise,Diphyllodes_magnificus__Magnificent_bird_of_paradise__HLdipMag1__GCA_003713285.1,GCA_003713285.1,Scaffold,241639,6488714,
Dipodomys merriami,Merriams kangaroo rat,Dipodomys_merriami__Merriams_kangaroo_rat__HLdipMer1__GCA_024711535.1,GCA_024711535.1,Scaffold,7443915,13535215,14791.0
Dipodomys ordii,Ords kangaroo rat,Dipodomys_ordii__Ords_kangaroo_rat__dipOrd2__GCF_000151885.1,GCF_000151885.1,Scaffold,48087,11931245,13547.0
Dipodomys spectabilis,banner-tailed kangaroo rat,Dipodomys_spectabilis__banner-tailed_kangaroo_rat__HLdipSpe1__GCF_019054845.1,GCF_019054845.1,Contig,9612466,9612466,14593.0
Dipodomys stephensi,Stephenss kangaroo rat,Dipodomys_stephensi__Stephenss_kangaroo_rat__HLdipSte1__GCA_004024685.1,GCA_004024685.1,Scaffold,30710,36811,12860.0
Dipus sagitta,northern three-toed jerboa,Dipus_sagitta__northern_three-toed_jerboa__HLdipSag1__GCA_036346955.1,GCA_036346955.1,Chromosome,28651707,147241050,13500.0
Dolichotis patagonum,Patagonian cavy,Dolichotis_patagonum__Patagonian_cavy__HLdolPat1__GCA_004027295.1,GCA_004027295.1,Scaffold,27983,31026,13360.0
Donacobius atricapilla,Black capped donacobius,Donacobius_atricapilla__Black_capped_donacobius__HLdonAtr1__GCA_013397315.1,GCA_013397315.1,Scaffold,64871,542855,
Doryrhina cyclops,cyclops roundleaf bat,Doryrhina_cyclops__cyclops_roundleaf_bat__HLhipCyc2__GCA_043880285.1,GCA_043880285.1,,14255823,154073572,14906.0
Dromaius novaehollandiae,Emu,Dromaius_novaehollandiae__Emu__HLdroNov3__GCF_036370855.1,GCF_036370855.1,Chromosome,24239989,77929039,
Dromas ardeola,Crab plover,Dromas_ardeola__Crab_plover__HLdroArd1__GCA_013398915.1,GCA_013398915.1,Scaffold,40991,314166,
Dromiciops gliroides,monito del monte,Dromiciops_gliroides__monito_del_monte__HLdroGli1__GCF_019393635.1,GCF_019393635.1,Chromosome,38230856,670775900,
Dromococcyx pavoninus,Pavonine cuckoo,Dromococcyx_pavoninus__Pavonine_cuckoo__HLdroPavo1__GCA_033558185.1,GCA_033558185.1,Contig,1835311,1835311,
Drymodes brunneopygia,Southern scrub robin,Drymodes_brunneopygia__Southern_scrub_robin__HLdryBru1__GCA_013400955.1,GCA_013400955.1,Scaffold,79910,443364,
Dryobates pubescens,Downy woodpecker,Dryobates_pubescens__Downy_woodpecker__HLpicPub3__GCF_014839835.1,GCF_014839835.1,Chromosome,19150283,38715865,
Dryocopus martius,Black woodpecker,Dryocopus_martius__Black_woodpecker__HLdryMart1__GCA_045788425.1,GCA_045788425.1,Scaffold,171933,6562138,
Dugong dugon,Dugong,Dugong_dugon__Dugong__HLdugDugo3A__GCA_030035585.1,GCA_030035585.1,Chromosome,57632671,140670990,15082.0
Dyaphorophyia castanea,Chestnut wattle eye,Dyaphorophyia_castanea__Chestnut_wattle_eye__HLdyaCas1__GCA_013397175.1,GCA_013397175.1,Scaffold,84600,719154,
Echinops telfairi,small Madagascar hedgehog,Echinops_telfairi__small_Madagascar_hedgehog__echTel2__GCF_000313985.1,GCF_000313985.1,Scaffold,20428,45764842,13649.0
Eclectus roratus,Eclectus parrot,Eclectus_roratus__Eclectus_parrot__HLeclRor1__GCA_011763535.1,GCA_011763535.1,Scaffold,86912,3064750,
Edolisoma coerulescens,Black faced cuckooshrike,Edolisoma_coerulescens__Black_faced_cuckooshrike__HLedoCoe1__GCA_013397115.1,GCA_013397115.1,Scaffold,131175,1336768,
Egretta garzetta,little egret,Egretta_garzetta__little_egret__egrGar1__GCF_000687185.1,GCF_000687185.1,Scaffold,29019,3067157,
Eidolon dupreanum,Malagasy straw-colored fruit bat,Eidolon_dupreanum__Malagasy_straw-colored_fruit_bat__HLeidDup1__GCA_028627145.1,GCA_028627145.1,,108606,101563129,12849.0
Eidolon helvum,straw-colored fruit bat,Eidolon_helvum__straw-colored_fruit_bat__HLeidHel2,DNA Zoo Consortium,,12384,81966912,9010.0
Eira barbara,Tayra,Eira_barbara__Tayra__HLeirBar1__GCA_020311275.1,GCA_020311275.1,Scaffold,285064,42537617,14772.0
Elaphurus davidianus,Pere Davids deer,Elaphurus_davidianus__Pere_Davids_deer__HLelaDav1__GCA_002443075.1,GCA_002443075.1,Scaffold,59950,2844142,14436.0
Elephantulus edwardii,Cape elephant shrew,Elephantulus_edwardii__Cape_elephant_shrew__eleEdw1__GCF_000299155.1,GCF_000299155.1,Scaffold,24219,15011382,14302.0
Elephas maximus indicus,Asiatic elephant,Elephas_maximus_indicus__Asiatic_elephant__HLeleMaxInd3A__GCF_024166365.1,GCF_024166365.1,Chromosome,87987108,127432672,15171.0
Eliomys quercinus,garden dormouse,Eliomys_quercinus__garden_dormouse__HLeliQue1A__GCA_051143605.1,GCA_051143605.1,,51740598,108114398,14917.0
Ellobius talpinus,Northern mole vole,Ellobius_talpinus__Northern_mole_vole__HLellTal1__GCA_001685095.1,GCA_001685095.1,Scaffold,8259,15246,11052.0
Elseya novaeguineae,New Guinea snapping turtle,Elseya_novaeguineae__New_Guinea_snapping_turtle__HLelsNov1A,MPI-CBG,,36337756,122738801,
Emberiza calandra,Corn bunting,Emberiza_calandra__Corn_bunting__HLembCala1__GCA_045783115.1,GCA_045783115.1,Scaffold,142367,6035664,
Emberiza elegans,yellow-throated bunting,Emberiza_elegans__yellow-throated_bunting__HLembEle1__GCA_022818055.1,GCA_022818055.1,Scaffold,3607765,73992973,
Emberiza fucata,Chestnut eared bunting,Emberiza_fucata__Chestnut_eared_bunting__HLembFuc1__GCA_013398835.1,GCA_013398835.1,Scaffold,19687,892245,
Emberiza rutila,Chestnut bunting,Emberiza_rutila__Chestnut_bunting__HLembRuti1__GCA_051527255.1,GCA_051527255.1,Scaffold,133945,11172215,
Empidonax alnorum,alder flycatcher,Empidonax_alnorum__alder_flycatcher__HLempAln1__GCA_023644505.1,GCA_023644505.1,Scaffold,165784,7733337,
Empidonax traillii,willow flycatcher,Empidonax_traillii__willow_flycatcher__HLempTra1__GCA_003031625.1,GCA_003031625.1,Scaffold,86564,895074,
Emydoidea blandingii,Blandings turtle,Emydoidea_blandingii__Blandings_turtle__HLemyBlan1__GCA_036785055.1,GCA_036785055.1,Scaffold,43111614,148530947,
Emydura macquarii macquarii,Murray river turtle,Emydura_macquarii_macquarii__Murray_river_turtle__HLemyMacqMac1__GCF_026122565.2,GCF_026122565.2,Contig,17066353,17066353,
Emydura subglobosa,Red-bellied short-necked turtle,Emydura_subglobosa__Red-bellied_short-necked_turtle__HLemySubg2__GCA_054346155.1,GCA_054346155.1,Chromosome,99727220,122085354,
Emys orbicularis,European pond turtle,Emys_orbicularis__European_pond_turtle__HLemyOrbi1A__GCF_028017835.1,GCF_028017835.1,Chromosome,91255289,146456333,
Enhydra lutris kenyoni,sea otter,Enhydra_lutris_kenyoni__sea_otter__enhLutKen1__GCF_002288905.1,GCF_002288905.1,Scaffold,244529,38751465,14717.0
Enhydra lutris nereis,sea otter,Enhydra_lutris_nereis__sea_otter__enhLutNer1__GCA_006410715.1,GCA_006410715.1,Scaffold,23473,9763901,13372.0
Entomyzon cyanotis,Blue faced honeyeater,Entomyzon_cyanotis__Blue_faced_honeyeater__HLentCya1__GCA_020137895.1,GCA_020137895.1,Scaffold,202860,4504408,
Eolophus roseicapillus,galah,Eolophus_roseicapillus__galah__HLeolRos1__GCA_013397615.1,GCA_013397615.1,Scaffold,21735,418393,
Eopsaltria australis,eastern yellow robin,Eopsaltria_australis__eastern_yellow_robin__HLeopAus1__GCA_003426825.1,GCA_003426825.1,Scaffold,641411,987278,
Eospalax fontanierii,Chinese zokor,Eospalax_fontanierii__Chinese_zokor__HLeosFon1__GCA_035773235.1,GCA_035773235.1,Chromosome,59200000,82041474,14947.0
Eptesicus fuscus,big brown bat,Eptesicus_fuscus__big_brown_bat__HLeptFus3__GCF_027574615.1,GCF_027574615.1,Chromosome,49033427,102817582,14919.0
Equus asinus,Ass,Equus_asinus__Ass__HLequAsin4__GCF_041296235.1,GCF_041296235.1,Chromosome,102829910,101318199,15128.0
Equus asinus asinus,ass,Equus_asinus_asinus__ass__HLequAsiAsi2__GCA_003033725.1,GCA_003033725.1,Scaffold,134070,15144613,14283.0
Equus caballus,Horse,Equus_caballus__Horse__HLequCaba5__GCA_052818215.1,GCA_052818215.1,Complete Genome,100959084,100959084,15128.0
Equus kiang,Kiang,Equus_kiang__Kiang__HLequKian1__GCA_052150635.1,GCA_052150635.1,Complete Genome,107027433,107027433,15130.0
Equus przewalskii,Przewalskis horse,Equus_przewalskii__Przewalskis_horse__HLequPrze2__GCF_037783145.1,GCF_037783145.1,Chromosome,25995503,85145959,15062.0
Equus quagga,plains zebra,Equus_quagga__plains_zebra__HLequQua2__GCF_021613505.1,GCF_021613505.1,Chromosome,427941,122556673,14857.0
Equus quagga boehmi,Grants zebra,Equus_quagga_boehmi__Grants_zebra__HLequQuaBoe1,DNA Zoo Consortium,,89245,114504116,14243.0
Equus quagga quagga,quagga,Equus_quagga_quagga__quagga__HLequQua1,DNA Zoo Consortium,,89245,114504116,14245.0
Equus zebra,mountain zebra,Equus_zebra__mountain_zebra__HLequZeb1,DNA Zoo Consortium,,182436,150600390,14727.0
Eremophila alpestris peregrina,horned lark,Eremophila_alpestris_peregrina__horned_lark__HLereAlp1__GCA_009792885.1,GCA_009792885.1,Scaffold,193817,9421811,
Erethizon dorsatum,North American porcupine,Erethizon_dorsatum__North_American_porcupine__HLereDor3__GCA_028451465.1,GCA_028451465.1,Chromosome,19239546,127995937,14828.0
Eretmochelys imbricata,Hawksbill sea turtle,Eretmochelys_imbricata__Hawksbill_sea_turtle__HLereImbr1A__GCF_965152235.1,GCF_965152235.1,Chromosome,80323000,136542973,
Erignathus barbatus,bearded seal,Erignathus_barbatus__bearded_seal__HLeriBar1,DNA Zoo Consortium,,45719,133069726,14052.0
Erinaceus europaeus,western European hedgehog,Erinaceus_europaeus__western_European_hedgehog__HLeriEur3__GCF_950295315.1,GCF_950295315.1,Chromosome,999919,126757761,14128.0
Erithacus rubecula,European robin,Erithacus_rubecula__European_robin__HLeriRub1__GCA_903797595.1,GCA_903797595.1,Chromosome,5585877,46560559,
Erpornis zantholeuca,White bellied erpornis,Erpornis_zantholeuca__White_bellied_erpornis__HLerpZan1__GCA_013400515.1,GCA_013400515.1,Scaffold,45331,176063,
Erymnochelys madagascariensis,Madagascan big-headed turtle,Erymnochelys_madagascariensis__Madagascan_big-headed_turtle__HLeryMad1,MPI-CBG,,68097831,314632115,
Erythrocebus patas,red guenon,Erythrocebus_patas__red_guenon__HLeryPat3__GCA_023783455.1,GCA_023783455.1,Contig,18747272,18747272,13442.0
Erythrocercus mccallii,Chestnut capped flycatcher,Erythrocercus_mccallii__Chestnut_capped_flycatcher__HLeryMcc1__GCA_013397435.1,GCA_013397435.1,Scaffold,83996,346475,
Erythrura gouldiae,Gouldian finch,Erythrura_gouldiae__Gouldian_finch__HLeryGou1__GCA_003676055.1,GCA_003676055.1,Scaffold,137954,17126938,
Eschrichtius robustus,grey whale,Eschrichtius_robustus__grey_whale__HLescRob3__GCA_028021215.1,GCA_028021215.1,Chromosome,39209000,126538682,14828.0
Eubalaena australis,Southern right whale,Eubalaena_australis__Southern_right_whale__HLeubAus1,DNA Zoo Consortium,,37826,112042483,14480.0
Eubalaena glacialis,North Atlantic right whale,Eubalaena_glacialis__North_Atlantic_right_whale__HLeubGla2__GCF_028564815.1,GCF_028564815.1,Chromosome,37467374,129620717,14860.0
Eubalaena japonica,North Pacific right whale,Eubalaena_japonica__North_Pacific_right_whale__HLeubJap1__GCA_004363455.1,GCA_004363455.1,Scaffold,34866,39813,13891.0
Eubucco bourcierii,red-headed barbet,Eubucco_bourcierii__red-headed_barbet__HLeubBou1__GCA_013396675.1,GCA_013396675.1,Scaffold,26549,208022,
Eudocimus ruber,Scarlet ibis,Eudocimus_ruber__Scarlet_ibis__HLeudRube1__GCA_041043685.1,GCA_041043685.1,Scaffold,35096,101016769,
Eudorcas thomsonii,Thomsons gazelle,Eudorcas_thomsonii__Thomsons_gazelle__HLeudTho1__GCA_006408755.1,GCA_006408755.1,Scaffold,137476,1581717,14183.0
Eudromia elegans,Elegant crested-tinamou,Eudromia_elegans__Elegant_crested-tinamou__HLeudEleg2A__GCA_047922985.1,GCA_047922985.1,Chromosome,11629215,66803183,
Eudyptes chrysocome,Rockhopper penguin,Eudyptes_chrysocome__Rockhopper_penguin__HLeudChr1__GCA_010085355.1,GCA_010085355.1,Scaffold,80552,1949323,
Eudyptes chrysolophus,Macaroni penguin,Eudyptes_chrysolophus__Macaroni_penguin__HLeudChy1__GCA_010084205.1,GCA_010084205.1,Scaffold,215030,13794837,
Eudyptes filholi,Southern rockhopper penguin,Eudyptes_filholi__Southern_rockhopper_penguin__HLeudFil1__GCA_010085365.1,GCA_010085365.1,Scaffold,86112,6429221,
Eudyptes moseleyi,Northern rockhopper penguin,Eudyptes_moseleyi__Northern_rockhopper_penguin__HLeudMos1__GCA_010082375.1,GCA_010082375.1,Scaffold,42318,2252023,
Eudyptes pachyrhynchus,Fiordland penguin,Eudyptes_pachyrhynchus__Fiordland_penguin__HLeudPac1__GCA_010085335.1,GCA_010085335.1,Scaffold,58247,8912950,
Eudyptes robustus,Snares penguin,Eudyptes_robustus__Snares_penguin__HLeudRob1__GCA_010085315.1,GCA_010085315.1,Scaffold,83286,367542,
Eudyptes schlegeli,Royal penguin,Eudyptes_schlegeli__Royal_penguin__HLeudSch1__GCA_010080425.1,GCA_010080425.1,Scaffold,42596,1894246,
Eudyptes sclateri,Erect-crested penguin,Eudyptes_sclateri__Erect-crested_penguin__HLeudScl1__GCA_010078445.1,GCA_010078445.1,Scaffold,83178,1921244,
Eudyptula albosignata,White-flippered penguin,Eudyptula_albosignata__White-flippered_penguin__HLeudAlb1__GCA_010080465.1,GCA_010080465.1,Scaffold,104210,21866543,
Eudyptula minor,Little blue penguin,Eudyptula_minor__Little_blue_penguin__HLeudMin1__GCA_010080355.1,GCA_010080355.1,Scaffold,95403,21127646,
Eudyptula novaehollandiae,Australian little penguin,Eudyptula_novaehollandiae__Australian_little_penguin__HLeudNov1__GCA_010078495.1,GCA_010078495.1,Scaffold,134160,29280209,
Eulacestoma nigropectus,wattled ploughbill,Eulacestoma_nigropectus__wattled_ploughbill__HLeulNig1__GCA_013397775.1,GCA_013397775.1,Scaffold,75916,1156832,
Eulemur coronatus,Crowned lemur,Eulemur_coronatus__Crowned_lemur__HLeulCoro1__GCA_963574965.1,GCA_963574965.1,Scaffold,44663,44663,13483.0
Eulemur flavifrons,Sclaters lemur,Eulemur_flavifrons__Sclaters_lemur__HLeulFla1,DNA Zoo Consortium,,26840,156661540,14375.0
Eulemur fulvus,brown lemur,Eulemur_fulvus__brown_lemur__HLeulFul1__GCA_004027275.1,GCA_004027275.1,Scaffold,21310,22561,12595.0
Eulemur fulvus collaris,brown lemur,Eulemur_fulvus_collaris__brown_lemur__HLeulCol1,DNA Zoo Consortium,,43549,109878484,13568.0
Eulemur macaco,black lemur,Eulemur_macaco__black_lemur__eulMac1__GCA_001262655.1,GCA_001262655.1,Scaffold,20038,405987,14395.0
Eulemur mongoz,mongoose lemur,Eulemur_mongoz__mongoose_lemur__HLeulMon1,DNA Zoo Consortium,,37662,82429097,13141.0
Eulemur rufifrons,Bennetts brown lemur,Eulemur_rufifrons__Bennetts_brown_lemur__HLeulRuf1__GCA_041146395.1,GCA_041146395.1,Chromosome,89959899,100874195,15059.0
Eumetopias jubatus,Steller sea lion,Eumetopias_jubatus__Steller_sea_lion__HLeumJuba2__GCA_037043125.1,GCA_037043125.1,Scaffold,61020890,142604627,14977.0
Eupsittula pertinax,brown-throated parakeet,Eupsittula_pertinax__brown-throated_parakeet__HLeupPer1__GCA_011317185.1,GCA_011317185.1,Scaffold,70940,9066519,
Eurypyga helias,sunbittern,Eurypyga_helias__sunbittern__eurHel1__GCF_000690775.1,GCF_000690775.1,Scaffold,24402,47243,
Eurystomus gularis,Blue throated roller,Eurystomus_gularis__Blue_throated_roller__HLeurGul1__GCA_013400335.1,GCA_013400335.1,Scaffold,57880,197888,
Excalfactoria chinensis,Blue-breasted quail,Excalfactoria_chinensis__Blue-breasted_quail__HLexcChin1B__GCF_039878825.1,GCF_039878825.1,Chromosome,7816141,86361526,
Falco biarmicus,lanner falcon,Falco_biarmicus__lanner_falcon__HLfalBia1__GCA_023638135.1,GCA_023638135.1,Chromosome,24892811,91472507,
Falco cherrug,Saker falcon,Falco_cherrug__Saker_falcon__HLfalChe2__GCA_023634085.1,GCA_023634085.1,Chromosome,21245687,92426045,
